"Key","Source","Context","Changes","English","French","German","Klingon","Spanish","Polish"
"airConditioner","blocks","Block","KgNone","КОНДИЦИОНЕР",,,,,
"airConditionVentFan","blocks","Block","New","Вентилятор",,,,,
"airConditionVentFanDouble","blocks","Block","New","Двойной вентилятор",,,,,
"alphabetLetterSignGroupDesc","blocks","Block","EnChanged","СОЗДАВАЙТЕ СОБСТВЕННЫЕ ТАБЛИЧКИ С ПОМОЩЬЮ ПРОСТЫХ СИМВОЛОВ.",,,,,
"arrowHelper","blocks","Block","New","СТРЕЛКА-УКАЗАТЕЛЬ",,,,,
"arrowSlit","blocks","Block","New","БОЙНИЦА",,,,,
"awningBlock","blocks","Block","KeyChanged EnChanged","ТЕНТ (БЛОК)",,,,,
"awningCNRFull","blocks","Block","KeyChanged EnChanged","ТЕНТ (ПОЛНЫЙ УГОЛ)",,,,,
"awningCNRInside","blocks","Block","KeyChanged EnChanged","ТЕНТ (ВНУТР. УГОЛ)",,,,,
"awningCNRRound","blocks","Block","KeyChanged EnChanged","ТЕНТ (КРУГЛЫЙ УГОЛ)",,,,,
"awningCNRRoundTop","blocks","Block","New","ТЕНТ (КРУГЛЫЙ УГОЛ/ВЕРХ)",,,,,
"awningCTRSheet","blocks","Block","New","Тент (ЦЕНТР ЛИСТ)",,,,,
"awningGable","blocks","Block","KeyChanged EnChanged","ТЕНТ (КОНУС)",,,,,
"awningGroupDesc","blocks","Block","KgNone","ИЗГОТОВЛЕННЫЙ ИЗ ТКАНИ ТЕНТ.",,,,,
"awningPyramid","blocks","Block","KeyChanged EnChanged","ТЕНТ (ПИРАМИДА)",,,,,
"awningRamp","blocks","Block","KeyChanged EnChanged","ТЕНТ (РАМПА)",,,,,
"awningRampSheet","blocks","Block","New","Тент (ЛИСТ РАМПЫ)",,,,,
"awningRampSheetEdgeLeft","blocks","Block","New","Тент (ЛЕВЫЙ КРАЙ РАМПЫ)",,,,,
"awningRampSheetEdgeRight","blocks","Block","New","Тент (ПРАВЫЙ КРАЙ РАМПЫ)",,,,,
"awningSheet","blocks","Block","New","Тент (ЛИСТ)",,,,,
"barStool","blocks","Block","New","БАРНЫЙ СТУЛ",,,,,
"bed01","blocks","Block","KgNone","СТАРАЯ КРОВАТЬ",,,,,
"bed01Frame","blocks","Block","KgNone","ЖЕЛЕЗНЫЙ КАРКАС КРОВАТИ",,,,,
"bed02","blocks","Block","KgNone","ДВУСПАЛЬНАЯ КРОВАТЬ",,,,,
"bedGroupDesc","blocks","Block","EnChanged","КРОВАТЬ ПОСЛЕ РАЗМЕЩЕНИЯ СТАНЕТ МЕСТОМ ВАШЕГО ВОЗРОЖДЕНИЯ, ЕСЛИ ВЫ УМРЁТЕ, А ТАКЖЕ БУДЕТ ПОКАЗЫВАТЬ МЕСТО ВАШЕЙ БАЗЫ НА КАРТЕ.",,,,,
"bedroll","blocks","Block","KgNone","СПАЛЬНЫЙ МЕШОК",,,,,
